,county,crimerate,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,pctymle,crmrtelag
10,21.0,0.0413296,0.258131,0.272985,0.469854,9.88,0.0019133,2.555387,45.85272,1.0,0.0,1.0,9.62444,262.6341,421.6649,217.641,315.973,283.1928,344.25,460.94,341.47,241.35,0.0767823,0.0384395
11,23.0,0.0293095,0.287442,0.294498,0.472527,5.66,0.0014041,1.501984,20.91201,1.0,0.0,0.0,7.93198,240.9932,363.7448,197.8607,315.8677,282.3159,303.81,458.86,319.61,276.75,0.0887623,0.02755
12,25.0,0.0305075,0.282043,0.453287,0.544529,6.85,0.0016077,2.532967,29.41294,0.0,1.0,0.0,15.0998,282.1906,373.2474,204.2759,326.7459,283.324,287.64,464.94,359.48,309.97,0.0794865,0.029444
13,27.0,0.0355283,0.221862,0.357664,0.505102,10.31,0.001424,1.492569,25.13492,1.0,0.0,0.0,6.45795,253.3263,394.5227,205.1357,279.4619,256.4711,268.48,441.35,245.93,273.59,0.087978,0.0300368
14,33.0,0.0153797,0.21791,0.130137,0.484211,6.87,0.0007805,0.5233645,26.73789,0.0,1.0,0.0,43.9169,184.9112,258.3238,179.3915,339.3665,190.9438,268.36,341.6,347.11,252.12,0.0851962,0.0141497
15,35.0,0.0455489,0.260844,0.299924,0.450633,8.76,0.0017862,2.84596,31.64337,0.0,1.0,0.0,10.0838,296.4233,432.6329,247.0921,316.9907,277.5946,305.48,522.42,314.38,276.38,0.0820833,0.0404708
16,37.0,0.0207011,0.371547,0.356877,0.53125,6.53,0.0012295,0.5,28.96895,0.0,1.0,0.0,27.8079,249.6813,366.8763,204.1658,262.7807,198.866,264.78,429.01,334.46,282.73,0.0770427,0.0196145
17,39.0,0.0130587,0.286822,0.783784,0.258621,9.44,0.0011135,0.4469027,23.38863,1.0,0.0,0.0,3.94549,225.8418,397.878,166.6872,259.2913,222.2652,257.85,270.12,263.75,231.88,0.0712311,0.0142249
18,41.0,0.0125242,0.549383,0.651685,0.5,4.69,0.0016235,0.7252747,31.85906,0.0,0.0,0.0,42.6421,223.9199,329.6703,199.4078,226.2443,208.0373,295.82,438.81,335.9,265.83,0.0680608,0.0158939
19,45.0,0.03854,0.215789,0.321377,0.53125,9.04,0.0011813,1.84188,26.95903,0.0,1.0,0.0,21.7499,260.8386,361.6796,224.4259,273.0827,275.7024,316.28,440.14,319.85,286.45,0.0835231,0.0376378
20,47.0,0.0293452,0.235624,0.625,0.385714,6.6,0.0020167,0.5554371,29.40129,0.0,0.0,0.0,33.4032,325.8996,314.5219,174.3941,343.0532,206.7213,355.71,395.27,259.22,280.85,0.0781424,0.0296451
21,49.0,0.030183,0.322888,0.398031,0.392226,9.8,0.0015352,1.132668,27.05969,0.0,0.0,0.0,29.9072,272.1943,352.7878,194.6482,282.3409,296.5243,308.93,453.12,245.36,259.39,0.1261602,0.0319024
22,51.0,0.0712392,0.171519,0.308015,0.413636,9.5,0.0016594,3.888889,31.27144,0.0,0.0,1.0,37.7792,248.2457,357.412,198.3625,297.1186,241.9481,398.06,403.96,330.91,292.63,0.147533,0.0591762
23,53.0,0.0170847,0.159091,0.105714,0.378378,5.97,0.0008542,0.5039063,39.17915,0.0,0.0,0.0,17.9096,238.2573,192.3077,187.2367,262.2378,226.2443,184.33,329.83,331.52,247.14,0.0890676,0.0138866
24,55.0,0.0635231,0.202885,0.241706,0.490196,8.17,0.0036037,0.4424552,85.93001,0.0,0.0,0.0,6.49622,265.1632,387.7809,152.1637,225.5074,181.6435,265.83,323.96,335.63,241.74,0.0811983,0.0504352
25,57.0,0.0259898,0.303672,0.48366,0.326577,7.41,0.0013412,2.164234,27.02995,0.0,1.0,0.0,10.9957,277.5833,389.0533,215.645,297.2259,232.1913,294.36,477.0,284.73,280.82,0.0828959,0.0258322
26,59.0,0.015924,0.231651,0.122514,0.241935,11.69,0.0008765,1.037453,30.28687,0.0,1.0,0.0,10.8704,265.0177,290.746,214.2559,262.7807,264.038,292.93,416.47,317.99,267.99,0.0803874,0.0160226
27,61.0,0.0179394,0.495924,0.454795,0.391566,9.64,0.0013649,0.5079365,31.69089,0.0,0.0,0.0,34.9995,226.4493,309.7574,202.9866,293.0403,186.846,240.67,424.63,294.63,276.0,0.0794323,0.0169917
28,63.0,0.0703023,0.142794,0.519003,0.40096,10.09,0.0023205,5.426175,40.89529,0.0,1.0,1.0,38.223,301.6998,445.9651,235.2634,337.4126,348.4926,551.96,522.32,368.77,322.55,0.0972633,0.073959
29,65.0,0.0603418,0.311758,0.140317,0.38914,8.21,0.0006569,1.156126,26.38083,0.0,0.0,0.0,51.6932,302.3293,477.289,192.8864,289.1845,203.9307,296.39,516.89,328.55,284.49,0.0816832,0.0481331
30,67.0,0.0475793,0.222561,0.276769,0.519411,8.54,0.0020049,6.28398,42.60989,0.0,1.0,1.0,25.6546,191.4752,349.6504,171.7926,249.7502,199.6477,239.01,407.8,344.35,276.6,0.0813422,0.0518556
31,69.0,0.0123078,0.386301,0.929078,0.381679,8.6,0.0011128,0.6639676,27.38272,0.0,1.0,0.0,42.3224,317.7535,474.1483,245.4301,417.7175,311.38,484.34,512.91,337.24,349.25,0.0866098,0.012961
32,71.0,0.0571815,0.219947,0.274481,0.528998,9.16,0.0019111,4.817927,28.14489,0.0,1.0,0.0,13.315,250.4188,516.099,224.3537,315.856,264.2565,316.65,503.51,314.95,295.29,0.0818151,0.0585782
33,77.0,0.0398521,0.206371,0.681208,0.512315,6.82,0.0024011,0.6872659,33.05056,0.0,1.0,0.0,45.4513,219.7802,256.4102,210.0034,270.4327,165.5396,302.58,510.66,326.79,277.88,0.089236,0.0352097
34,79.0,0.0118946,0.316327,0.919355,0.508772,6.09,0.001153,0.6203008,34.78369,0.0,0.0,0.0,45.4675,200.6689,274.7253,151.4234,256.4102,204.3269,189.16,362.35,330.86,307.66,0.0853098,0.0115195
35,81.0,0.0527319,0.30938,0.231522,0.501219,10.64,0.0022705,5.023041,47.62537,0.0,1.0,1.0,26.3941,345.2739,460.0884,286.5485,377.9385,288.9627,388.63,548.79,377.97,294.39,0.0882898,0.048507
36,83.0,0.0289042,0.398487,0.568038,0.417827,8.83,0.0016038,0.7734807,33.52496,0.0,0.0,0.0,50.5625,242.7491,435.8465,183.9465,282.6691,175.1182,316.41,440.61,317.05,272.35,0.0806518,0.0268714
37,85.0,0.0372284,0.203632,0.4862,0.393013,7.79,0.0014164,1.049917,24.51749,0.0,0.0,0.0,25.6287,201.858,406.068,185.1409,270.1844,225.5934,282.62,413.49,347.35,274.9,0.109063,0.0354902
38,87.0,0.0302089,0.284615,0.36855,0.4,9.06,0.0014999,0.863063,29.33097,1.0,0.0,0.0,2.69921,264.093,381.981,184.3148,273.2522,212.9792,526.8,454.69,310.26,261.64,0.0805624,0.0299963
39,89.0,0.0268714,0.287106,0.483034,0.392562,6.35,0.0012165,1.770054,28.85487,1.0,0.0,0.0,4.31205,265.1208,468.1894,205.4814,279.9882,219.0061,395.1,484.28,268.47,273.23,0.0711765,0.0222881
40,91.0,0.0265877,0.281201,0.55618,0.505051,10.04,0.0014281,0.6713483,27.81343,0.0,0.0,0.0,56.8085,265.252,384.6154,173.5391,237.4169,246.313,276.26,414.98,291.03,264.93,0.0921553,0.0292986
41,93.0,0.0313736,0.308782,0.513761,0.464286,5.29,0.0013776,0.5780051,24.93946,0.0,0.0,0.0,58.0827,161.216,206.044,157.1386,222.9654,164.283,240.03,426.52,352.66,258.48,0.0901013,0.0336595
42,97.0,0.035918,0.270653,0.679335,0.382867,6.46,0.0015471,1.522648,23.34746,0.0,1.0,0.0,18.4012,272.8306,380.8073,212.7055,311.5188,240.7577,299.04,455.85,301.6,303.64,0.0797813,0.0345321
43,99.0,0.0132968,0.115152,0.17895,0.323529,5.45,0.0015714,0.5498981,33.76451,1.0,0.0,0.0,14.2846,232.8569,403.4427,151.2232,278.5146,223.8444,249.41,425.56,354.15,247.12,0.1341441,0.0150138
44,101.0,0.0315835,0.159032,0.682065,0.513944,6.3,0.0013649,0.9672956,30.86513,0.0,0.0,0.0,20.9479,209.1238,349.6504,197.0282,271.0377,199.0399,286.11,437.51,308.15,273.54,0.0784658,0.0300807
45,105.0,0.0445928,0.268571,0.493617,0.49569,6.91,0.0018347,1.567568,34.21838,0.0,1.0,0.0,23.5498,270.7316,381.6223,218.4174,291.7556,243.5438,327.46,443.68,224.4,299.95,0.0791262,0.0354481
46,107.0,0.0451353,0.295413,0.275776,0.495495,6.81,0.0016232,1.504975,28.94897,0.0,0.0,0.0,39.0478,257.4442,331.565,189.1611,318.89,230.0151,338.74,476.2,291.24,295.24,0.0785185,0.0479757
47,109.0,0.0199467,0.244344,0.518519,0.446429,13.45,0.0010831,1.533557,26.42612,0.0,1.0,0.0,9.68564,236.3299,300.6012,213.143,316.2106,220.0021,283.77,428.91,337.29,279.22,0.0836018,0.0193141
48,111.0,0.0144764,0.356725,0.568306,0.346154,6.52,0.0009594,0.8306636,24.46247,1.0,0.0,0.0,5.52725,215.9763,541.8193,176.0974,278.2324,224.9428,224.77,365.66,311.63,278.78,0.0711781,0.012742
49,113.0,0.0115498,0.501901,0.19697,0.153846,4.69,0.001537,0.4468085,55.25554,1.0,0.0,0.0,2.39865,259.8753,369.2308,157.0513,198.4127,247.881,246.44,322.69,297.46,202.49,0.0927476,0.0111992
50,115.0,0.0047949,0.888889,0.1625,0.461538,7.0,0.0165157,0.3813747,30.33987,1.0,0.0,0.0,1.28365,182.2524,460.0663,194.549,294.7782,201.4652,437.69,426.78,304.59,254.57,0.0771637,0.00188147
51,117.0,0.0177404,0.307368,0.924658,0.42963,9.9,0.0005229,0.5791757,49.81863,0.0,0.0,0.0,45.4255,232.818,332.3837,166.1645,274.7253,204.7535,300.57,384.94,290.19,283.43,0.0782115,0.0188914
52,119.0,0.0874663,0.151541,0.320506,0.505138,6.41,0.0018105,8.395833,51.41667,0.0,1.0,1.0,28.546,347.6481,509.5136,328.2206,442.7392,314.8165,430.09,560.88,290.48,335.73,0.0853628,0.0868929
53,123.0,0.0321128,0.431193,0.24924,0.426829,6.16,0.0017677,0.4857143,39.08851,0.0,1.0,0.0,25.9602,285.5613,373.9316,187.3375,254.7122,232.0955,258.3,332.48,290.16,271.02,0.0834453,0.0302041
54,125.0,0.0230652,0.350532,0.448598,0.421875,9.05,0.001889,0.7831669,32.02308,0.0,1.0,0.0,22.5819,228.8868,404.1493,172.8721,250.1112,286.1283,269.41,440.95,327.37,272.42,0.0777309,0.0240551
55,127.0,0.0258142,0.15545,0.1689,0.418773,9.76,0.0012234,1.312963,28.12119,0.0,0.0,0.0,34.2799,250.6091,362.8986,252.2031,381.2758,258.6901,298.96,492.38,301.97,293.67,0.0781521,0.0448501
56,129.0,0.070914,0.224474,0.395055,0.452693,7.7,0.0024624,6.07027,69.40868,0.0,0.0,1.0,23.0441,270.7781,396.9059,209.2001,305.059,255.3557,397.71,535.23,356.92,290.48,0.0842557,0.0661003
57,131.0,0.0144598,0.777778,0.423645,0.476744,7.45,0.0009972,0.4163569,33.90083,0.0,0.0,0.0,61.9421,211.7149,320.5128,193.7757,280.4487,174.4647,233.67,380.36,326.04,241.05,0.0900933,0.0137993
58,133.0,0.0517775,0.239668,0.241749,0.334471,8.71,0.001546,1.608126,22.58288,0.0,0.0,0.0,26.3814,235.8491,308.793,181.2296,233.6667,197.7114,241.89,315.65,290.75,257.38,0.254405,0.0381837
59,135.0,0.0517818,0.106241,0.441704,0.385787,8.21,0.0023066,2.065,29.15432,0.0,1.0,0.0,19.5263,271.8334,376.3106,162.2506,340.2661,272.4596,372.98,514.29,437.55,281.99,0.1373685,0.0524006
60,137.0,0.0108666,0.271186,0.59375,0.421053,4.22,0.0005525,0.3225806,34.96,0.0,0.0,0.0,33.0448,284.9003,329.6703,150.8925,147.929,265.9575,145.9,336.29,255.84,277.11,0.0742574,0.0106549
61,139.0,0.0362156,0.408571,0.354312,0.493421,7.72,0.0013107,1.289474,27.62038,0.0,0.0,0.0,38.0613,263.9517,400.1032,192.8651,287.8618,227.3517,236.4,454.11,274.52,240.25,0.10175,0.0295938
62,141.0,0.0609911,0.208333,0.122,0.270492,7.01,0.0355781,0.2788571,29.11382,0.0,0.0,0.0,39.8515,198.5112,345.7217,185.8188,228.6175,196.0161,212.23,372.85,317.39,253.57,0.0809816,0.0847914
63,143.0,0.0174132,0.468208,0.37037,0.4,9.12,0.0009059,0.4186992,21.19813,0.0,0.0,0.0,38.6359,240.3846,349.6504,174.216,234.5216,123.5004,172.75,365.58,312.82,230.28,0.0709927,0.0230636
64,145.0,0.0271005,0.381885,0.423077,0.484848,7.27,0.00136,0.7613065,35.82109,0.0,1.0,0.0,32.9516,258.4372,493.624,186.144,262.8666,201.2839,303.67,423.04,252.77,291.22,0.077668,0.0232703
65,147.0,0.0525701,0.191107,0.423693,0.508816,5.9,0.0021873,1.459665,32.27996,0.0,0.0,0.0,35.6411,264.9244,353.0032,199.1874,312.3173,255.2561,345.29,522.72,424.3,301.37,0.1167678,0.0508713
66,149.0,0.0136124,0.248555,0.651163,0.392857,12.18,0.0015737,0.605042,26.60532,1.0,0.0,0.0,10.0046,222.5048,368.2488,171.455,266.5651,186.9123,261.07,404.81,285.31,268.83,0.0651693,0.0137135
67,151.0,0.0255308,0.250408,0.491028,0.481728,6.78,0.0012724,1.234474,21.09936,0.0,1.0,0.0,6.97606,308.144,372.7608,200.0629,298.1774,251.727,271.33,451.23,254.39,274.51,0.082165,0.0215881
68,153.0,0.0282947,0.319907,0.670702,0.436823,9.39,0.0013588,0.9685535,27.72656,0.0,1.0,0.0,28.5284,221.199,330.852,179.3445,252.7756,224.6247,303.36,449.78,310.3,268.14,0.0779838,0.0301159
69,155.0,0.0311808,0.413175,0.548126,0.403485,6.7,0.0014767,1.118019,32.55385,0.0,0.0,0.0,61.4497,219.5752,371.0685,186.3991,310.0581,243.4125,246.62,421.09,331.19,282.83,0.0844781,0.0284567
70,157.0,0.0274601,0.307824,0.670833,0.501035,6.84,0.0019489,1.502636,31.30051,0.0,1.0,0.0,21.6036,261.0227,368.6036,185.7407,286.3465,216.4917,348.45,439.07,272.41,294.85,0.0805256,0.0266499
71,159.0,0.031777,0.230261,0.548644,0.465116,8.55,0.0018555,1.996146,21.34924,0.0,1.0,0.0,16.9913,295.6549,426.9269,237.919,286.9023,237.5672,329.28,486.7,306.07,304.54,0.0803248,0.0287943
72,161.0,0.0198354,0.331541,0.57027,0.454976,6.08,0.0012619,1.003521,27.42254,1.0,0.0,0.0,13.0366,237.9064,364.2058,191.6003,260.7042,218.5552,290.25,434.11,244.87,272.77,0.07643,0.0171226
73,163.0,0.0203012,0.311828,0.53605,0.391813,8.27,0.0012899,0.532207,30.99583,0.0,0.0,0.0,36.3495,185.8436,407.4921,186.5941,242.2196,229.8568,257.05,404.0,301.06,265.54,0.0766543,0.0191925
74,165.0,0.0440056,0.338144,0.428862,0.440758,6.38,0.0016937,1.053292,33.27475,0.0,0.0,0.0,42.4256,257.5549,429.9562,187.1451,283.0189,251.5067,340.18,420.19,338.17,261.24,0.0839384,0.0408157
75,167.0,0.021896,0.420569,0.347162,0.427673,7.55,0.0015482,1.267677,28.31809,0.0,1.0,0.0,12.5791,290.7829,370.8791,215.9003,278.9956,235.0176,304.5,442.48,286.02,269.77,0.079819,0.0181909
76,169.0,0.0092151,0.377709,0.819672,0.42,10.39,0.0007703,0.7831858,32.22691,0.0,1.0,0.0,7.67092,354.6099,529.661,184.4418,303.6437,193.9703,280.56,381.72,303.2,282.85,0.0861124,0.010994
77,171.0,0.0235205,0.109944,0.14734,0.536797,10.44,0.0014,1.12987,27.83577,1.0,0.0,0.0,5.64349,325.3195,351.4938,210.1768,302.5065,232.7767,257.61,441.14,292.82,266.76,0.0798949,0.0213532
78,173.0,0.0047703,0.289474,0.636364,0.571429,12.24,0.0035149,0.2034221,28.9306,1.0,0.0,0.0,25.3914,169.6833,174.8252,161.9242,250.8361,186.2078,193.28,368.03,335.98,215.44,0.0766049,0.010373
79,175.0,0.0189785,0.308668,0.363014,0.415094,6.22,0.0016049,0.6772487,40.80094,1.0,0.0,0.0,6.03408,230.4341,442.5262,153.1654,273.7226,219.106,576.33,322.11,313.53,237.82,0.0889608,0.0242597
80,179.0,0.0277412,0.354207,0.383978,0.352518,8.98,0.0014929,1.223787,35.31148,0.0,1.0,0.0,17.8858,281.381,312.6681,220.4755,304.6896,240.9706,311.82,440.2,344.84,332.14,0.0888013,0.0256946
81,181.0,0.0470632,0.206877,0.482289,0.446328,6.82,0.0016183,1.538153,24.14048,0.0,1.0,0.0,44.6283,202.6893,335.2152,255.1234,283.2439,205.0495,262.5,444.74,277.9,253.22,0.0828185,0.0534929
82,185.0,0.0078125,0.25,0.37,0.459459,6.58,0.0136719,0.3840749,32.34632,0.0,1.0,0.0,64.3482,183.1502,302.1978,155.3254,247.2527,190.4037,221.28,382.19,320.79,256.44,0.0753613,0.0472032
83,187.0,0.0254524,0.263006,0.14395,0.290076,12.72,0.0012506,0.439759,37.27805,0.0,0.0,0.0,44.2132,224.7752,334.4482,158.4284,266.2722,191.3008,215.4,385.07,307.97,241.38,0.0836146,0.0151844
84,189.0,0.0271844,0.153261,0.390071,0.4,8.31,0.0019502,1.089172,29.19147,1.0,0.0,0.0,1.9832,215.0645,289.5753,165.819,281.6221,218.1758,251.01,406.16,407.5,247.37,0.1545936,0.024611
85,191.0,0.0345692,0.253968,0.391509,0.475904,8.53,0.0012113,1.783394,23.63343,0.0,0.0,0.0,34.4283,287.1144,363.7343,213.2225,291.8956,212.8885,276.29,333.61,327.01,293.95,0.0939839,0.0245914
86,193.0,0.0180945,0.356682,0.576227,0.38565,7.93,0.0010006,0.8085107,24.77798,1.0,0.0,0.0,5.93109,257.2078,398.3154,256.9071,361.1236,279.1209,263.98,436.96,287.89,291.84,0.0812092,0.0330351
87,195.0,0.0236432,0.24697,0.15644,0.478431,12.49,0.0042988,1.721925,36.02775,0.0,0.0,0.0,37.4311,279.4814,340.6775,216.4476,365.8724,278.1635,362.04,459.44,283.4,309.1,0.0831767,0.0171735
88,197.0,0.0130857,0.180556,0.830769,0.333333,5.96,0.0010541,0.875,24.12361,1.0,0.0,0.0,5.46081,253.0364,283.4008,171.6738,271.7391,207.2574,279.17,357.84,354.78,275.01,0.0772219,0.0551157
89,,,,,,,,,,,,,,,,,,,,,,,,0.0136619
